=== REPORTE DE CUENTAS ===
Cuenta{nombre: Jesus Barcenas, numero: 1001, saldo: 5000.0, domicilio: Monterrey, tipo: ahorro}
Cuenta{nombre: Daniel Lopez, numero: 1002, saldo: 15000.0, domicilio: Guadalajara, tipo: credito}
Cuenta{nombre: Maria Garcia, numero: 1003, saldo: 20000.0, domicilio: CDMX, tipo: inversion}
Cuenta{nombre: Pedro Ramirez, numero: 1004, saldo: 3000.0, domicilio: Monterrey, tipo: ahorro}
Cuenta{nombre: Ana Torres, numero: 1005, saldo: 8000.0, domicilio: Guadalajara, tipo: ahorro}
Cuenta{nombre: Carlos Mendez, numero: 1006, saldo: 50000.0, domicilio: CDMX, tipo: inversion}
Cuenta{nombre: Laura Sanchez, numero: 1007, saldo: 1200.0, domicilio: Monterrey, tipo: ahorro}
Cuenta{nombre: Roberto Diaz, numero: 1008, saldo: 25000.0, domicilio: Tijuana, tipo: credito}
Cuenta{nombre: Sofia Herrera, numero: 1009, saldo: 9000.0, domicilio: Guadalajara, tipo: inversion}
Cuenta{nombre: Miguel Castro, numero: 1010, saldo: 4500.0, domicilio: CDMX, tipo: ahorro}
Cuenta{nombre: Elena Flores, numero: 1011, saldo: 11000.0, domicilio: Monterrey, tipo: credito}
Cuenta{nombre: Andres Reyes, numero: 1012, saldo: 30000.0, domicilio: Tijuana, tipo: inversion}
Cuenta{nombre: Patricia Vega, numero: 1013, saldo: 2500.0, domicilio: Guadalajara, tipo: ahorro}
Cuenta{nombre: Fernando Luna, numero: 1014, saldo: 18000.0, domicilio: CDMX, tipo: credito}
Cuenta{nombre: Gabriela Mora, numero: 1015, saldo: 7000.0, domicilio: Monterrey, tipo: ahorro}
